ID,Name
1100015,ALTA FLORESTA D'OESTE
1100023,ARIQUEMES
1100031,CABIXI
1100049,CACOAL
1100056,CEREJEIRAS
1100064,COLORADO DO OESTE
1100072,CORUMBIARA
1100080,COSTA MARQUES
1100098,ESPIGÃO D'OESTE
1100106,GUAJARÁ-MIRIM
1100114,JARU
1100122,JI-PARANÁ
1100130,MACHADINHO D'OESTE
1100148,NOVA BRASILÂNDIA D'OESTE
1100155,OURO PRETO DO OESTE
1100189,PIMENTA BUENO
1100205,PORTO VELHO
1100254,PRESIDENTE MÉDICI
1100262,RIO CRESPO
1100288,ROLIM DE MOURA
1100296,SANTA LUZIA D'OESTE
1100304,VILHENA
1100320,SÃO MIGUEL DO GUAPORÉ
1100338,NOVA MAMORÉ
1100346,ALVORADA D'OESTE
1100379,ALTO ALEGRE DOS PARECIS
1100403,ALTO PARAÍSO
1100452,BURITIS
1100502,NOVO HORIZONTE DO OESTE
1100601,CACAULÂNDIA
1100700,CAMPO NOVO DE RONDÔNIA
1100809,CANDEIAS DO JAMARI
1100908,CASTANHEIRAS
1100924,CHUPINGUAIA
1100940,CUJUBIM
1101005,GOVERNADOR JORGE TEIXEIRA
1101104,ITAPUÃ DO OESTE
1101203,MINISTRO ANDREAZZA
1101302,MIRANTE DA SERRA
1101401,MONTE NEGRO
1101435,NOVA UNIÃO
1101450,PARECIS
1101468,PIMENTEIRAS DO OESTE
1101476,PRIMAVERA DE RONDÔNIA
1101484,SÃO FELIPE D'OESTE
1101492,SÃO FRANCISCO DO GUAPORÉ
1101500,SERINGUEIRAS
1101559,TEIXEIRÓPOLIS
1101609,THEOBROMA
1101708,URUPÁ
1101757,VALE DO ANARI
1101807,VALE DO PARAÍSO
1200013,ACRELÂNDIA
1200054,ASSIS BRASIL
1200104,BRASILÉIA
1200138,BUJARI
1200179,CAPIXABA
1200203,CRUZEIRO DO SUL
1200252,EPITACIOLÂNDIA
1200302,FEIJÓ
1200328,JORDÃO
1200336,MÂNCIO LIMA
1200344,MANOEL URBANO
1200351,MARECHAL THAUMATURGO
1200385,PLÁCIDO DE CASTRO
1200393,PORTO WALTER
1200401,RIO BRANCO
1200427,RODRIGUES ALVES
1200435,SANTA ROSA DO PURUS
1200450,SENADOR GUIOMARD
1200500,SENA MADUREIRA
1200609,TARAUACÁ
1200708,XAPURI
1200807,PORTO ACRE
1300029,ALVARÃES
1300060,AMATURÁ
1300086,ANAMÃ
1300102,ANORI
1300144,APUÍ
1300201,ATALAIA DO NORTE
1300300,AUTAZES
1300409,BARCELOS
1300508,BARREIRINHA
1300607,BENJAMIN CONSTANT
1300631,BERURI
1300680,BOA VISTA DO RAMOS
1300706,BOCA DO ACRE
1300805,BORBA
1300839,CAAPIRANGA
1300904,CANUTAMA
1301001,CARAUARI
1301100,CAREIRO
1301159,CAREIRO DA VÁRZEA
1301209,COARI
1301308,CODAJÁS
1301407,EIRUNEPÉ
1301506,ENVIRA
1301605,FONTE BOA
1301654,GUAJARÁ
1301704,HUMAITÁ
1301803,IPIXUNA
1301852,IRANDUBA
1301902,ITACOATIARA
1301951,ITAMARATI
1302009,ITAPIRANGA
1302108,JAPURÁ
1302207,JURUÁ
1302306,JUTAÍ
1302405,LÁBREA
1302504,MANACAPURU
1302553,MANAQUIRI
1302603,MANAUS
1302702,MANICORÉ
1302801,MARAÃ
1302900,MAUÉS
1303007,NHAMUNDÁ
1303106,NOVA OLINDA DO NORTE
1303205,NOVO AIRÃO
1303304,NOVO ARIPUANÃ
1303403,PARINTINS
1303502,PAUINI
1303536,PRESIDENTE FIGUEIREDO
1303569,RIO PRETO DA EVA
1303601,SANTA ISABEL DO RIO NEGRO
1303700,SANTO ANTÔNIO DO IÇÁ
1303809,SÃO GABRIEL DA CACHOEIRA
1303908,SÃO PAULO DE OLIVENÇA
1303957,SÃO SEBASTIÃO DO UATUMÃ
1304005,SILVES
1304062,TABATINGA
1304104,TAPAUÁ
1304203,TEFÉ
1304237,TONANTINS
1304260,UARINI
1304302,URUCARÁ
1304401,URUCURITUBA
1400027,AMAJARI
1400050,ALTO ALEGRE
1400100,BOA VISTA
1400159,BONFIM
1400175,CANTÁ
1400209,CARACARAÍ
1400233,CAROEBE
1400282,IRACEMA
1400308,MUCAJAÍ
1400407,NORMANDIA
1400456,PACARAIMA
1400472,RORAINÓPOLIS
1400506,SÃO JOÃO DA BALIZA
1400605,SÃO LUIZ
1400704,UIRAMUTÃ
1500107,ABAETETUBA
1500131,ABEL FIGUEIREDO
1500206,ACARÁ
1500305,AFUÁ
1500347,ÁGUA AZUL DO NORTE
1500404,ALENQUER
1500503,ALMEIRIM
1500602,ALTAMIRA
1500701,ANAJÁS
1500800,ANANINDEUA
1500859,ANAPU
1500909,AUGUSTO CORRÊA
1500958,AURORA DO PARÁ
1501006,AVEIRO
1501105,BAGRE
1501204,BAIÃO
1501253,BANNACH
1501303,BARCARENA
1501402,BELÉM
1501451,BELTERRA
1501501,BENEVIDES
1501576,BOM JESUS DO TOCANTINS
1501600,BONITO
1501709,BRAGANÇA
1501725,BRASIL NOVO
1501758,BREJO GRANDE DO ARAGUAIA
1501782,BREU BRANCO
1501808,BREVES
1501907,BUJARU
1501956,CACHOEIRA DO PIRIÁ
1502004,CACHOEIRA DO ARARI
1502103,CAMETÁ
1502152,CANAÃ DOS CARAJÁS
1502202,CAPANEMA
1502301,CAPITÃO POÇO
1502400,CASTANHAL
1502509,CHAVES
1502608,COLARES
1502707,CONCEIÇÃO DO ARAGUAIA
1502756,CONCÓRDIA DO PARÁ
1502764,CUMARU DO NORTE
1502772,CURIONÓPOLIS
1502806,CURRALINHO
1502855,CURUÁ
1502905,CURUÇÁ
1502939,DOM ELISEU
1502954,ELDORADO DO CARAJÁS
1503002,FARO
1503044,FLORESTA DO ARAGUAIA
1503077,GARRAFÃO DO NORTE
1503093,GOIANÉSIA DO PARÁ
1503101,GURUPÁ
1503200,IGARAPÉ-AÇU
1503309,IGARAPÉ-MIRI
1503408,INHANGAPI
1503457,IPIXUNA DO PARÁ
1503507,IRITUIA
1503606,ITAITUBA
1503705,ITUPIRANGA
1503754,JACAREACANGA
1503804,JACUNDÁ
1503903,JURUTI
1504000,LIMOEIRO DO AJURU
1504059,MÃE DO RIO
1504109,MAGALHÃES BARATA
1504208,MARABÁ
1504307,MARACANÃ
1504406,MARAPANIM
1504422,MARITUBA
1504455,MEDICILÂNDIA
1504505,MELGAÇO
1504604,MOCAJUBA
1504703,MOJU
1504752,MOJUÍ DOS CAMPOS
1504802,MONTE ALEGRE
1504901,MUANÁ
1504950,NOVA ESPERANÇA DO PIRIÁ
1504976,NOVA IPIXUNA
1505007,NOVA TIMBOTEUA
1505031,NOVO PROGRESSO
1505064,NOVO REPARTIMENTO
1505106,ÓBIDOS
1505205,OEIRAS DO PARÁ
1505304,ORIXIMINÁ
1505403,OURÉM
1505437,OURILÂNDIA DO NORTE
1505486,PACAJÁ
1505494,PALESTINA DO PARÁ
1505502,PARAGOMINAS
1505536,PARAUAPEBAS
1505551,PAU D'ARCO
1505601,PEIXE-BOI
1505635,PIÇARRA
1505650,PLACAS
1505700,PONTA DE PEDRAS
1505809,PORTEL
1505908,PORTO DE MOZ
1506005,PRAINHA
1506104,PRIMAVERA
1506112,QUATIPURU
1506138,REDENÇÃO
1506161,RIO MARIA
1506187,RONDON DO PARÁ
1506195,RURÓPOLIS
1506203,SALINÓPOLIS
1506302,SALVATERRA
1506351,SANTA BÁRBARA DO PARÁ
1506401,SANTA CRUZ DO ARARI
1506500,SANTA IZABEL DO PARÁ
1506559,SANTA LUZIA DO PARÁ
1506583,SANTA MARIA DAS BARREIRAS
1506609,SANTA MARIA DO PARÁ
1506708,SANTANA DO ARAGUAIA
1506807,SANTARÉM
1506906,SANTARÉM NOVO
1507003,SANTO ANTÔNIO DO TAUÁ
1507102,SÃO CAETANO DE ODIVELAS
1507151,SÃO DOMINGOS DO ARAGUAIA
1507201,SÃO DOMINGOS DO CAPIM
