ID,num_circ,code_dpt
01001,1,01
01002,2,01
01003,3,01
01004,4,01
01005,5,01
02001,1,02
02002,2,02
02003,3,02
02004,4,02
02005,5,02
03001,1,03
03002,2,03
03003,3,03
04001,1,04
04002,2,04
05001,1,05
05002,2,05
06001,1,06
06002,2,06
06003,3,06
06004,4,06
06005,5,06
06006,6,06
06007,7,06
06008,8,06
06009,9,06
07001,1,07
07002,2,07
07003,3,07
08001,1,08
08002,2,08
08003,3,08
09001,1,09
09002,2,09
10001,1,10
10002,2,10
10003,3,10
11001,1,11
11002,2,11
11003,3,11
12001,1,12
12002,2,12
12003,3,12
13001,1,13
13002,2,13
13003,3,13
13004,4,13
13005,5,13
13006,6,13
13007,7,13
13008,8,13
13009,9,13
13010,10,13
13011,11,13
13012,12,13
13013,13,13
13014,14,13
13015,15,13
13016,16,13
14001,1,14
14002,2,14
14003,3,14
14004,4,14
14005,5,14
14006,6,14
15001,1,15
15002,2,15
16001,1,16
16002,2,16
16003,3,16
17001,1,17
17002,2,17
17003,3,17
17004,4,17
17005,5,17
18001,1,18
18002,2,18
18003,3,18
19001,1,19
19002,2,19
21001,1,21
21002,2,21
21003,3,21
21004,4,21
21005,5,21
22001,1,22
22002,2,22
22003,3,22
22004,4,22
22005,5,22
23001,1,23
24001,1,24
24002,2,24
24003,3,24
24004,4,24
25001,1,25
25002,2,25
25003,3,25
25004,4,25
25005,5,25
26001,1,26
26002,2,26
26003,3,26
26004,4,26
27001,1,27
27002,2,27
27003,3,27
27004,4,27
27005,5,27
28001,1,28
28002,2,28
28003,3,28
28004,4,28
29001,1,29
29002,2,29
29003,3,29
29004,4,29
29005,5,29
29006,6,29
29007,7,29
29008,8,29
2A001,1,2A
2A002,2,2A
2B001,1,2B
2B002,2,2B
30001,1,30
30002,2,30
30003,3,30
30004,4,30
30005,5,30
30006,6,30
31001,1,31
31002,2,31
31003,3,31
31004,4,31
31005,5,31
31006,6,31
31007,7,31
31008,8,31
31009,9,31
31010,10,31
32001,1,32
32002,2,32
33001,1,33
33002,2,33
33003,3,33
33004,4,33
33005,5,33
33006,6,33
33007,7,33
33008,8,33
33009,9,33
33010,10,33
33011,11,33
33012,12,33
34001,1,34
34002,2,34
34003,3,34
34004,4,34
34005,5,34
34006,6,34
34007,7,34
34008,8,34
34009,9,34
35001,1,35
35002,2,35
35003,3,35
35004,4,35
35005,5,35
35006,6,35
35007,7,35
35008,8,35
36001,1,36
36002,2,36
37001,1,37
37002,2,37
37003,3,37
37004,4,37
37005,5,37
38001,1,38
38002,2,38
38003,3,38
38004,4,38
38005,5,38
38006,6,38
38007,7,38
38008,8,38
38009,9,38
38010,10,38
39001,1,39
39002,2,39
39003,3,39
40001,1,40
40002,2,40
40003,3,40
41001,1,41
41002,2,41
41003,3,41
42001,1,42
42002,2,42
42003,3,42
42004,4,42
42005,5,42
42006,6,42
43001,1,43
43002,2,43
44001,1,44
44002,2,44
44003,3,44
44004,4,44
44005,5,44
44006,6,44
44007,7,44
44008,8,44
44009,9,44
44010,10,44
45001,1,45
45002,2,45
45003,3,45
45004,4,45
45005,5,45
45006,6,45
46001,1,46
46002,2,46
47001,1,47
47002,2,47
47003,3,47
48001,1,48
49001,1,49
49002,2,49
49003,3,49
49004,4,49
49005,5,49
49006,6,49
49007,7,49
50001,1,50
50002,2,50
50003,3,50
50004,4,50
51001,1,51
51002,2,51
51003,3,51
51004,4,51
51005,5,51
52001,1,52
52002,2,52
53001,1,53
53002,2,53
53003,3,53
54001,1,54
54002,2,54
54003,3,54
54004,4,54
54005,5,54
54006,6,54
55001,1,55
55002,2,55
56001,1,56
56002,2,56
56003,3,56
56004,4,56
56005,5,56
56006,6,56
57001,1,57
57002,2,57
57003,3,57
57004,4,57
57005,5,57
57006,6,57
57007,7,57
57008,8,57
57009,9,57
58001,1,58
58002,2,58
59001,1,59
59002,2,59
59003,3,59
59004,4,59
59005,5,59
59006,6,59
59007,7,59
59009,9,59
59010,10,59
59011,11,59
59012,12,59
59013,13,59
59014,14,59
59015,15,59
59016,16,59
59017,17,59
59018,18,59
59019,19,59
59020,0,59
59021,1,59
60001,1,60
60002,2,60
60003,3,60
60004,4,60
60005,5,60
60006,6,60
60007,7,60
61001,1,61
61002,2,61
61003,3,61
62001,1,62
62002,2,62
62003,3,62
62004,4,62
62005,5,62
62006,6,62
62007,7,62
62008,8,62
62009,9,62
62010,10,62
62011,11,62
62012,12,62
63001,1,63
63002,2,63
63003,3,63
63004,4,63
63005,5,63
64001,1,64
64002,2,64
64003,3,64
64004,4,64
64005,5,64
64006,6,64
65001,1,65
65002,2,65
66001,1,66
66002,2,66
66003,3,66
66004,4,66
67001,1,67
67002,2,67
67003,3,67
67004,4,67
67005,5,67
67006,6,67
67007,7,67
67008,8,67
67009,9,67
68001,1,68
68002,2,68
68003,3,68
68004,4,68
68005,5,68
68006,6,68
69001,1,69
69002,2,69
69003,3,69
69004,4,69
69005,5,69
69006,6,69
69007,7,69
69008,8,69
69009,9,69
69010,10,69
69011,11,69
69012,12,69
69013,13,69
69014,14,69
70001,1,70
70002,2,70
71001,1,71
71002,2,71
71003,3,71
71004,4,71
71005,5,71
72001,1,72
72002,2,72
72003,3,72
72004,4,72
72005,5,72
73001,1,73
73002,2,73
73003,3,73
73004,4,73
74001,1,74
74002,2,74
74003,3,74
74004,4,74
74005,5,74
74006,6,74
75001,1,75
75002,2,75
75003,3,75
75004,4,75
75005,5,75
75006,6,75
75007,7,75
75008,8,75
75009,9,75
75010,10,75
75011,11,75
75012,12,75
75013,13,75
75014,14,75
75015,15,75
75016,16,75
75017,17,75
75018,18,75
76001,1,76
76002,2,76
76003,3,76
76004,4,76
76005,5,76
76006,6,76
76007,7,76
76008,8,76
76009,9,76
76010,10,76
77001,1,77
77002,2,77
77003,3,77
77004,4,77
77005,5,77
77006,6,77
77007,7,77
77008,8,77
77009,9,77
77010,10,77
77011,11,77
78001,1,78
78002,2,78
78003,3,78
78004,4,78
78005,5,78
78006,6,78
78007,7,78
78008,8,78
78009,9,78
78010,10,78
78011,11,78
78012,12,78
79001,1,79
79002,2,79
79003,3,79
80001,1,80
80002,2,80
80003,3,80
80004,4,80
80005,5,80
81001,1,81
81002,2,81
81003,3,81
82001,1,82
82002,2,82
83001,1,83
83002,2,83
83003,3,83
83004,4,83
83005,5,83
83006,6,83
83007,7,83
83008,8,83
84001,1,84
84002,2,84
84003,3,84
84004,4,84
84005,5,84
85001,1,85
85002,2,85
85003,3,85
85004,4,85
85005,5,85
86001,1,86
86002,2,86
86003,3,86
86004,4,86
87001,1,87
87002,2,87
87003,3,87
88001,1,88
88002,2,88
88003,3,88
88004,4,88
89001,1,89
89002,2,89
89003,3,89
90001,1,90
90002,2,90
91001,1,91
91002,2,91
91003,3,91
91004,4,91
91005,5,91
91006,6,91
91007,7,91
91008,8,91
91009,9,91
91010,10,91
92001,1,92
92002,2,92
92003,3,92
92004,4,92
92005,5,92
92006,6,92
92007,7,92
92008,8,92
92009,9,92
92010,10,92
92011,11,92
92012,12,92
92013,13,92
93001,1,93
93002,2,93
93003,3,93
93004,4,93
93005,5,93
93006,6,93
93007,7,93
93008,8,93
93009,9,93
93010,10,93
93011,11,93
93012,12,93
94001,1,94
94002,2,94
94003,3,94
94004,4,94
94006,6,94
94007,7,94
94008,8,94
94009,9,94
94010,10,94
94011,11,94
95001,1,95
95002,2,95
95003,3,95
95004,4,95
95005,5,95
95006,6,95
95007,7,95
95008,8,95
95009,9,95
95010,10,95
ZA001,1,ZA
ZA002,2,ZA
ZA003,3,ZA
ZA004,4,ZA
ZB001,1,ZB
ZB002,2,ZB
ZB003,3,ZB
ZB004,4,ZB
ZC001,1,ZC
ZC002,2,ZC
ZD001,1,ZD
ZD002,2,ZD
ZD003,3,ZD
ZD004,4,ZD
ZD005,5,ZD
ZD006,6,ZD
ZD007,7,ZD
ZM001,1,ZM
ZM002,2,ZM
